date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:59	171885/171885	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:02%20GMT	http://benoitbossy.ch/img/skySport/3.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/3.png	(from http://benoitbossy.ch/skysport.html)
12:30:59	44748/44748	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:07%20GMT	http://benoitbossy.ch/img/skySport/modules/match1.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match1.png	(from http://benoitbossy.ch/skysport.html)
12:30:59	92719/92719	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:07%20GMT	http://benoitbossy.ch/img/skySport/modules/match2.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match2.png	(from http://benoitbossy.ch/skysport.html)
12:31:00	53028/53028	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:07%20GMT	http://benoitbossy.ch/img/skySport/modules/match3.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match3.png	(from http://benoitbossy.ch/skysport.html)
12:31:00	69662/69662	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:07%20GMT	http://benoitbossy.ch/img/skySport/modules/match4.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match4.png	(from http://benoitbossy.ch/skysport.html)
12:31:00	73848/73848	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:07%20GMT	http://benoitbossy.ch/img/skySport/modules/match5.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match5.png	(from http://benoitbossy.ch/skysport.html)
12:31:01	95844/95844	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:07%20GMT	http://benoitbossy.ch/img/skySport/modules/match6.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match6.png	(from http://benoitbossy.ch/skysport.html)
12:31:01	48768/48768	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:04:08%20GMT	http://benoitbossy.ch/img/skySport/modules/match7.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/modules/match7.png	(from http://benoitbossy.ch/skysport.html)
12:31:01	339684/339684	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:01%20GMT	http://benoitbossy.ch/img/skySport/4.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/4.jpg	(from http://benoitbossy.ch/skysport.html)
12:31:02	320675/320675	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:01%20GMT	http://benoitbossy.ch/img/skySport/5.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/5.jpg	(from http://benoitbossy.ch/skysport.html)
12:31:03	18662/18662	U--M-Z	200	updated ('OK')	application/javascript	date:Sat,%2015%20Aug%202020%2012:31:03%20GMT	https://player.vimeo.com/api/player.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/player.vimeo.com/api/player.js	(from http://benoitbossy.ch/skysport.html)
12:31:04	390927/390927	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:02%20GMT	http://benoitbossy.ch/img/skySport/6.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/6.jpg	(from http://benoitbossy.ch/skysport.html)
12:31:04	308478/308478	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:06%20GMT	http://benoitbossy.ch/img/strecke/1.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/strecke/1.jpg	(from http://benoitbossy.ch/strecke.html)
12:31:05	386895/386895	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:06%20GMT	http://benoitbossy.ch/img/strecke/2.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/strecke/2.jpg	(from http://benoitbossy.ch/strecke.html)
12:31:05	586422/586422	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:06%20GMT	http://benoitbossy.ch/img/strecke/3.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/strecke/3.jpg	(from http://benoitbossy.ch/strecke.html)
12:31:05	584372/584372	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:05%20GMT	http://benoitbossy.ch/img/strecke/4.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/strecke/4.jpg	(from http://benoitbossy.ch/strecke.html)
12:31:06	430160/430160	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:06%20GMT	http://benoitbossy.ch/img/strecke/5.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/strecke/5.jpg	(from http://benoitbossy.ch/strecke.html)
12:31:06	618686/618686	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:06%20GMT	http://benoitbossy.ch/img/strecke/6.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/strecke/6.jpg	(from http://benoitbossy.ch/strecke.html)
12:31:06	206487/206487	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:01%20GMT	http://benoitbossy.ch/img/hokusai/1.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/hokusai/1.jpg	(from http://benoitbossy.ch/hokusai.html)
12:31:07	866389/866389	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:00%20GMT	http://benoitbossy.ch/img/hokusai/2.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/hokusai/2.jpg	(from http://benoitbossy.ch/hokusai.html)
12:31:07	302867/302867	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:01%20GMT	http://benoitbossy.ch/img/hokusai/3.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/hokusai/3.jpg	(from http://benoitbossy.ch/hokusai.html)
12:31:07	470752/470752	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:00%20GMT	http://benoitbossy.ch/img/hokusai/4.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/hokusai/4.jpg	(from http://benoitbossy.ch/hokusai.html)
12:31:08	451427/451427	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:00%20GMT	http://benoitbossy.ch/img/hokusai/5.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/hokusai/5.jpg	(from http://benoitbossy.ch/hokusai.html)
12:31:08	266418/266418	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:04%20GMT	http://benoitbossy.ch/img/blade/1.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/blade/1.jpg	(from http://benoitbossy.ch/blade.html)
12:31:08	200506/200506	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:03%20GMT	http://benoitbossy.ch/img/blade/2.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/blade/2.jpg	(from http://benoitbossy.ch/blade.html)
12:31:09	472701/472701	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:04%20GMT	http://benoitbossy.ch/img/blade/3.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/blade/3.jpg	(from http://benoitbossy.ch/blade.html)
12:31:09	1451078/1451078	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:03%20GMT	http://benoitbossy.ch/img/blade/4.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/blade/4.jpg	(from http://benoitbossy.ch/blade.html)
12:31:09	1416155/1416155	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:03%20GMT	http://benoitbossy.ch/img/blade/5.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/blade/5.jpg	(from http://benoitbossy.ch/blade.html)
12:31:10	421869/421869	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:03%20GMT	http://benoitbossy.ch/img/blade/6.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/blade/6.jpg	(from http://benoitbossy.ch/blade.html)
12:31:10	314561/314561	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:05%20GMT	http://benoitbossy.ch/img/skyShow/1.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skyShow/1.jpg	(from http://benoitbossy.ch/skyshow.html)
12:31:10	1124232/1124232	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:05%20GMT	http://benoitbossy.ch/img/skyShow/2.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skyShow/2.jpg	(from http://benoitbossy.ch/skyshow.html)
12:31:11	604126/604126	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:05%20GMT	http://benoitbossy.ch/img/skyShow/3.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skyShow/3.jpg	(from http://benoitbossy.ch/skyshow.html)
12:31:11	630941/630941	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:04%20GMT	http://benoitbossy.ch/img/skyShow/4.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skyShow/4.jpg	(from http://benoitbossy.ch/skyshow.html)
12:31:11	195078/195078	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:04%20GMT	http://benoitbossy.ch/img/skyShow/5.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skyShow/5.jpg	(from http://benoitbossy.ch/skyshow.html)
12:31:12	189348/189348	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:04%20GMT	http://benoitbossy.ch/img/skyShow/6.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skyShow/6.jpg	(from http://benoitbossy.ch/skyshow.html)
12:31:12	45958/45958	U-----	200	untouched ('')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/www.google-analytics.com/analytics.js	(from http://benoitbossy.ch/)
12:31:12	5594/5594	U-----	200	untouched ('')	application/javascript	etag:W/%2215da-bT4RF04iZo5p3yNuXEVCFo98v+w%22	https://unpkg.com/imagesloaded@4.1.4/imagesloaded.pkgd.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/unpkg.com/imagesloaded@4.1.4/imagesloaded.pkgd.min.js	(from http://benoitbossy.ch/)
12:31:12	115897/115897	U-----	200	untouched ('')	application/javascript	etag:W/%225c7ad66a-1c4b9%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/2.1.2/TweenMax.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/cdnjs.cloudflare.com/ajax/libs/gsap/2.1.2/TweenMax.min.js	(from http://benoitbossy.ch/)
12:31:16	1572/1572	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Oct%202019%2015:03:53%20GMT	http://benoitbossy.ch/fonts/bar.h	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/bar.h	(from http://benoitbossy.ch/fonts/EuclidFlex-Regular.svg)
12:31:17	1572/1572	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Oct%202019%2015:03:53%20GMT	http://benoitbossy.ch/fonts/bar.t	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/bar-2.html	(from http://benoitbossy.ch/fonts/EuclidFlex-Regular.svg)
